        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 8.42000000e+00,        -1.520296682483e+01,        +1.376277437525e+02,        -1.331376180745e-01,        +4.680693721794e+01
 8.42100000e+00,        -1.526195726180e+01,        +1.376456576786e+02,        -1.313155396909e-01,        +4.672457097635e+01
 8.42200000e+00,        -1.532345005044e+01,        +1.376662731291e+02,        -1.294431531396e-01,        +4.663969382342e+01
 8.42300000e+00,        -1.538761545506e+01,        +1.376898584772e+02,        -1.275183048402e-01,        +4.655216161582e+01
 8.42400000e+00,        -1.545463969771e+01,        +1.377167158332e+02,        -1.255387454529e-01,        +4.646181883474e+01
 8.42500000e+00,        -1.552472674674e+01,        +1.377471856915e+02,        -1.235021087053e-01,        +4.636849762804e+01
 8.42600000e+00,        -1.559810051341e+01,        +1.377816530607e+02,        -1.214059108629e-01,        +4.627201652595e+01
 8.42700000e+00,        -1.567500735523e+01,        +1.378205545892e+02,        -1.192475464271e-01,        +4.617217903435e+01
 8.42800000e+00,        -1.575571896684e+01,        +1.378643870584e+02,        -1.170242843318e-01,        +4.606877204984e+01
 8.42900000e+00,        -1.584053572986e+01,        +1.379137175500e+02,        -1.147332648455e-01,        +4.596156407046e+01
 8.43000000e+00,        -1.592979060899e+01,        +1.379691956788e+02,        -1.123714974759e-01,        +4.585030317028e+01
 8.43100000e+00,        -1.602385370097e+01,        +1.380315683850e+02,        -1.099358602627e-01,        +4.573471470112e+01
 8.43200000e+00,        -1.612313758104e+01,        +1.381016977996e+02,        -1.074230976734e-01,        +4.561449867134e+01
 8.43300000e+00,        -1.622810352856e+01,        +1.381805837007e+02,        -1.048298371888e-01,        +4.548932678666e+01
 8.43400000e+00,        -1.633926903217e+01,        +1.382693898919e+02,        -1.021525774601e-01,        +4.535883899747e+01
 8.43500000e+00,        -1.645721655982e+01,        +1.383694781495e+02,        -9.938771221370e-02,        +4.522263960553e+01
 8.43600000e+00,        -1.658260410912e+01,        +1.384824499010e+02,        -9.653154464127e-02,        +4.508029274287e+01
 8.43700000e+00,        -1.671617785406e+01,        +1.386101987161e+02,        -9.358031249540e-02,        +4.493131715676e+01
 8.43800000e+00,        -1.685878740864e+01,        +1.387549767815e+02,        -9.053022328528e-02,        +4.477518016290e+01
 8.43900000e+00,        -1.701140435321e+01,        +1.389194798028e+02,        -8.737750269302e-02,        +4.461129060843e+01
 8.44000000e+00,        -1.717514485475e+01,        +1.391069564464e+02,        -8.411846032197e-02,        +4.443899065102e+01
 8.44100000e+00,        -1.735129745294e+01,        +1.393213509076e+02,        -8.074957986771e-02,        +4.425754612051e+01
 8.44200000e+00,        -1.754135742645e+01,        +1.395674900784e+02,        -7.726763108975e-02,        +4.406613514251e+01
 8.44300000e+00,        -1.774706952448e+01,        +1.398513336763e+02,        -7.366983710785e-02,        +4.386383472085e+01
 8.44400000e+00,        -1.797048149949e+01,        +1.401803105326e+02,        -6.995407849389e-02,        +4.364960474212e+01
 8.44500000e+00,        -1.821401153715e+01,        +1.405637788653e+02,        -6.611917440532e-02,        +4.342226888257e+01
 8.44600000e+00,        -1.848053364910e+01,        +1.410136648508e+02,        -6.216525234923e-02,        +4.318049168777e+01
 8.44700000e+00,        -1.877348634714e+01,        +1.415453644305e+02,        -5.809425542375e-02,        +4.292275079260e+01
 8.44800000e+00,        -1.909701088133e+01,        +1.421790375001e+02,        -5.391059261352e-02,        +4.264730334853e+01
 8.44900000e+00,        -1.945612684192e+01,        +1.429415063045e+02,        -4.962204254542e-02,        +4.235214477778e+01
